instrucao,eleitores
ensino superior completo,1
ensino superior completo,1
ensino superior incompleto,6
ensino medio completo,1
ensino superior incompleto,1
ensino medio completo,1
ensino medio completo,4
ensino medio completo,2
ensino superior completo,9
ensino superior completo,1
ensino superior incompleto,1
ensino fundamental incompleto,1
ensino superior completo,1
ensino medio completo,1
ensino medio completo,1
ensino superior incompleto,2
ensino superior completo,1
ensino medio incompleto,5
ensino medio completo,1
ensino fundamental completo,1
ensino medio completo,1
ensino medio incompleto,1
analfabeto,1
ensino fundamental completo,2
ensino medio completo,1
ensino superior completo,5
ensino medio completo,4
ensino fundamental completo,1
le e escreve,1
ensino medio completo,3
ensino medio incompleto,2
ensino fundamental incompleto,2
ensino superior completo,5
ensino superior incompleto,3
ensino medio incompleto,2
ensino medio incompleto,7
ensino fundamental incompleto,2
analfabeto,1
ensino medio incompleto,10
ensino superior incompleto,1
ensino superior completo,3
ensino medio incompleto,4
ensino superior completo,1
ensino fundamental incompleto,1
ensino superior completo,1
ensino superior completo,3
ensino fundamental incompleto,1
ensino fundamental completo,1
ensino medio completo,1
ensino medio incompleto,1
ensino medio incompleto,3
ensino fundamental incompleto,2
ensino fundamental incompleto,1
ensino superior completo,2
ensino fundamental incompleto,2
ensino fundamental completo,1
ensino superior incompleto,1
ensino medio completo,1
ensino fundamental completo,1
ensino superior completo,11
le e escreve,1
ensino medio completo,4
ensino medio incompleto,1
ensino medio completo,1
ensino superior incompleto,2
ensino medio completo,1
ensino superior completo,7
ensino fundamental completo,1
ensino superior incompleto,1
ensino fundamental incompleto,1
ensino medio completo,5
ensino medio incompleto,12
ensino medio completo,4
ensino fundamental completo,1
ensino medio completo,1
ensino medio completo,1
ensino fundamental incompleto,1
ensino fundamental incompleto,10
ensino superior completo,1
ensino superior incompleto,1
ensino superior completo,9
ensino medio incompleto,1
ensino medio completo,1
ensino superior completo,1
ensino superior completo,1
ensino superior completo,5
ensino superior completo,2
ensino medio incompleto,1
ensino medio completo,1
ensino medio completo,1
ensino medio incompleto,1
ensino medio incompleto,3
ensino superior incompleto,1
ensino medio completo,1
ensino fundamental incompleto,1
ensino superior completo,14
ensino medio incompleto,1
ensino medio completo,2
ensino medio completo,2
ensino fundamental incompleto,2
ensino medio completo,2
ensino medio incompleto,1
ensino superior incompleto,7
ensino superior completo,1
ensino fundamental incompleto,4
ensino medio incompleto,1
ensino fundamental incompleto,2
ensino medio completo,1
ensino medio incompleto,1
ensino superior incompleto,1
analfabeto,1
ensino superior incompleto,1
ensino medio completo,1
ensino superior incompleto,2
ensino fundamental incompleto,1
le e escreve,1
ensino medio completo,3
ensino superior completo,1
ensino superior incompleto,2
ensino fundamental completo,1
ensino superior completo,1
le e escreve,2
ensino medio completo,16
ensino superior incompleto,1
ensino medio completo,1
le e escreve,1
ensino medio incompleto,1
ensino superior completo,4
ensino superior completo,14
ensino medio completo,1
le e escreve,1
ensino superior completo,3
ensino superior completo,1
ensino superior completo,1
ensino medio incompleto,6
ensino medio completo,4
ensino superior incompleto,1
analfabeto,1
ensino fundamental incompleto,1
ensino superior incompleto,1
ensino fundamental incompleto,2
ensino superior incompleto,1
ensino superior completo,1
ensino fundamental completo,1
ensino superior completo,2
ensino fundamental incompleto,1
ensino superior completo,2
ensino medio completo,3
ensino medio incompleto,5
ensino superior completo,1
ensino superior incompleto,1
ensino superior incompleto,1
ensino medio incompleto,10
ensino medio completo,2
ensino medio incompleto,2
ensino fundamental incompleto,1
le e escreve,1
ensino fundamental completo,1
ensino fundamental incompleto,2
ensino superior completo,1
ensino superior completo,1
ensino superior incompleto,2
ensino medio completo,2
ensino superior completo,3
ensino superior incompleto,1
ensino superior completo,3
ensino medio completo,1
ensino medio completo,4
ensino fundamental completo,1
ensino medio completo,1
le e escreve,4
ensino superior completo,2
ensino medio completo,2
ensino superior completo,1
ensino medio completo,1
ensino fundamental incompleto,1
ensino superior incompleto,21
ensino fundamental incompleto,2
le e escreve,1
ensino superior completo,4
ensino medio incompleto,1
ensino superior incompleto,7
ensino medio incompleto,2
ensino superior completo,3
ensino medio completo,3
ensino medio completo,1
ensino superior completo,3
ensino superior completo,1
ensino superior incompleto,1
ensino superior completo,1
ensino superior incompleto,1
ensino medio completo,4
le e escreve,1
ensino fundamental incompleto,1
ensino fundamental completo,2
ensino fundamental completo,2
ensino superior completo,2
ensino fundamental incompleto,1
ensino fundamental completo,1
ensino medio completo,2
ensino fundamental completo,1
ensino superior incompleto,5
ensino medio completo,2
ensino fundamental completo,1
ensino fundamental incompleto,1
ensino medio completo,1
ensino superior completo,9
ensino medio completo,16
ensino medio completo,1
ensino superior completo,8
ensino medio incompleto,1
le e escreve,1
ensino superior completo,2
ensino superior completo,4
ensino superior completo,2
ensino fundamental incompleto,1
ensino medio incompleto,2
ensino superior incompleto,1
ensino fundamental incompleto,1
ensino superior incompleto,1
ensino fundamental incompleto,1
ensino medio completo,2
ensino superior incompleto,3
ensino fundamental incompleto,1
ensino fundamental completo,1
ensino superior incompleto,1
ensino superior completo,3
ensino superior completo,1
ensino fundamental incompleto,3
ensino fundamental incompleto,1
ensino fundamental completo,1
ensino superior completo,4
ensino medio incompleto,1
ensino superior completo,2
le e escreve,1
ensino superior completo,1
ensino superior completo,3
ensino superior completo,3
ensino superior incompleto,1
ensino superior incompleto,2
ensino superior completo,1
le e escreve,3
ensino fundamental completo,1
ensino superior incompleto,8
ensino superior incompleto,4
ensino medio completo,1
ensino superior completo,1
ensino superior completo,6
ensino medio incompleto,2
ensino fundamental incompleto,1
ensino superior completo,8
ensino superior completo,7
ensino superior incompleto,1
ensino medio incompleto,1
ensino fundamental completo,1
analfabeto,1
analfabeto,1
ensino superior completo,5
ensino medio completo,1
ensino medio completo,2
ensino superior completo,2
ensino superior incompleto,1
ensino fundamental incompleto,1
ensino fundamental incompleto,1
ensino superior incompleto,1
ensino fundamental incompleto,1
ensino medio completo,1
ensino medio completo,1
ensino superior incompleto,1
ensino medio completo,1
ensino medio completo,2
ensino superior completo,6
ensino superior completo,1
ensino superior completo,1
ensino medio incompleto,4
ensino medio completo,5
ensino medio completo,2
ensino superior completo,1
ensino superior completo,1
ensino medio completo,1
ensino superior completo,7
ensino superior incompleto,1
ensino superior completo,11
ensino fundamental incompleto,5
ensino superior completo,4
ensino fundamental completo,1
ensino medio completo,3
ensino superior completo,10
ensino superior completo,2
ensino medio completo,2
ensino medio completo,1
ensino superior completo,3
ensino medio completo,29
ensino fundamental incompleto,2
ensino superior incompleto,1
ensino medio incompleto,2
ensino fundamental completo,1
ensino superior incompleto,1
ensino superior incompleto,1
ensino superior incompleto,2
ensino superior completo,3
ensino medio completo,3
ensino superior completo,1
ensino fundamental incompleto,2
ensino medio completo,1
ensino superior incompleto,2
ensino medio incompleto,2
ensino superior incompleto,1
ensino superior incompleto,1
ensino superior completo,1
ensino medio completo,3
ensino superior incompleto,1
ensino superior completo,2
ensino superior completo,4
ensino superior incompleto,1
ensino fundamental incompleto,1
ensino medio completo,5
ensino fundamental completo,1
ensino medio completo,1
ensino medio incompleto,3
ensino medio completo,1
ensino superior completo,1
ensino medio incompleto,1
le e escreve,1
ensino superior completo,1
ensino superior completo,2
ensino medio incompleto,3
le e escreve,1
ensino medio completo,1
ensino medio completo,2
ensino superior incompleto,1
le e escreve,7
ensino superior completo,6
ensino superior incompleto,1
ensino medio completo,1
analfabeto,1
ensino fundamental incompleto,1
le e escreve,1
ensino fundamental incompleto,1
ensino medio completo,2
ensino superior incompleto,2
ensino superior completo,3
ensino medio incompleto,1
ensino superior completo,1
ensino fundamental incompleto,1
ensino medio incompleto,23
ensino superior completo,1
analfabeto,1
ensino medio completo,3
ensino superior completo,1
ensino superior incompleto,1
ensino superior completo,5
ensino medio incompleto,1
ensino superior incompleto,1
ensino fundamental incompleto,2
ensino superior incompleto,1
ensino medio completo,3
ensino superior incompleto,3
ensino medio completo,1
ensino fundamental completo,1
ensino medio completo,3
ensino superior completo,5
ensino medio completo,5
ensino superior completo,3
ensino medio incompleto,1
ensino superior completo,6
ensino medio completo,2
ensino medio completo,2
ensino medio incompleto,1
ensino superior completo,2
ensino superior completo,3
ensino fundamental incompleto,1
ensino superior completo,1
ensino medio completo,2
ensino medio completo,1
ensino superior completo,2
ensino superior completo,1
ensino fundamental completo,1
ensino medio incompleto,32
ensino fundamental incompleto,1
ensino fundamental incompleto,2
ensino superior completo,2
ensino superior completo,1
ensino superior completo,1
ensino superior incompleto,2
ensino medio completo,2
ensino superior incompleto,1
ensino medio incompleto,1
ensino fundamental completo,1
ensino medio completo,1
ensino superior completo,1
ensino medio completo,1
ensino medio completo,1
ensino medio completo,1
ensino medio incompleto,6
ensino superior incompleto,1
ensino superior completo,4
ensino fundamental completo,2
ensino superior completo,5
ensino superior completo,2
ensino fundamental completo,1
ensino superior incompleto,2
ensino superior completo,10
ensino superior completo,2
ensino superior completo,1
le e escreve,1
ensino fundamental incompleto,3
ensino superior incompleto,2
analfabeto,1
ensino superior completo,1
ensino superior completo,4
ensino superior completo,1
ensino superior completo,1
ensino superior completo,3
le e escreve,1
ensino superior completo,3
ensino medio completo,1
ensino superior completo,3
ensino medio incompleto,1
ensino superior completo,2
ensino medio incompleto,5
ensino medio completo,1
le e escreve,1
ensino fundamental incompleto,4
ensino superior completo,5
ensino superior completo,9
ensino fundamental completo,1
ensino fundamental incompleto,1
ensino fundamental completo,1
ensino medio incompleto,2
ensino medio completo,1
le e escreve,1
ensino medio incompleto,11
ensino fundamental incompleto,2
ensino fundamental incompleto,1
ensino medio completo,1
ensino fundamental incompleto,1
ensino medio completo,4
ensino fundamental incompleto,1
ensino fundamental incompleto,1
ensino superior completo,1
ensino superior completo,1
ensino superior completo,2
ensino medio completo,1
ensino fundamental completo,1
ensino superior completo,1
ensino superior incompleto,1
ensino medio completo,1
le e escreve,1
ensino superior completo,7
ensino medio incompleto,1
ensino fundamental incompleto,1
ensino superior completo,4
ensino medio completo,1
ensino medio completo,1
ensino superior completo,3
ensino fundamental completo,1
ensino medio completo,2
le e escreve,1
ensino medio completo,3
ensino superior completo,2
ensino superior completo,3
ensino superior completo,7
ensino fundamental completo,1
ensino superior incompleto,1
ensino medio completo,1
ensino fundamental incompleto,1
ensino medio completo,1
ensino fundamental completo,1
ensino superior completo,2
ensino medio incompleto,3
ensino superior incompleto,1
ensino medio completo,1
ensino medio incompleto,1
ensino superior incompleto,1
ensino medio completo,1
ensino medio completo,1
ensino medio incompleto,9
ensino medio completo,2
ensino superior completo,1
ensino fundamental incompleto,1
ensino medio completo,2
ensino medio completo,1
ensino superior completo,1
ensino medio incompleto,1
ensino superior completo,1
ensino superior completo,2
ensino medio completo,1
ensino fundamental incompleto,1
ensino medio incompleto,16
ensino superior completo,3
ensino superior incompleto,1
ensino superior incompleto,1
ensino superior completo,8
ensino superior completo,1
ensino superior completo,1
ensino medio completo,6
ensino fundamental incompleto,5
ensino superior completo,2
ensino medio completo,1
ensino medio completo,5
ensino medio completo,1
ensino fundamental incompleto,4
ensino medio completo,2
ensino superior completo,1
ensino superior completo,3
ensino medio incompleto,5
ensino superior completo,1
ensino fundamental incompleto,1
ensino fundamental incompleto,3
ensino fundamental completo,1
ensino superior incompleto,3
ensino medio completo,1
ensino fundamental incompleto,5
ensino medio incompleto,3
ensino medio completo,5
ensino fundamental incompleto,1
ensino superior completo,2
ensino superior completo,5
ensino medio completo,5
ensino superior completo,8
ensino superior incompleto,1
ensino superior incompleto,2
ensino superior incompleto,1
ensino medio completo,1
ensino superior completo,1
ensino superior completo,1
ensino medio completo,1
ensino superior completo,1
ensino superior completo,1
ensino medio completo,2
ensino medio completo,1
ensino medio completo,2
ensino medio incompleto,1
ensino superior incompleto,4
ensino superior completo,1
ensino medio completo,1
ensino superior completo,1
ensino superior completo,1
ensino fundamental incompleto,1
ensino superior completo,1
ensino medio completo,33
ensino medio completo,1
ensino medio completo,1
ensino medio incompleto,1
ensino superior incompleto,1
ensino medio completo,1
le e escreve,1
ensino fundamental incompleto,1
ensino superior completo,2
ensino superior completo,7
ensino superior completo,5
ensino fundamental incompleto,1
ensino superior completo,1
ensino medio completo,1
le e escreve,1
ensino fundamental incompleto,2
ensino superior completo,10
ensino superior completo,3
analfabeto,1
ensino medio completo,1
ensino superior incompleto,1
ensino superior completo,1
ensino superior completo,1
ensino medio completo,1
analfabeto,1
ensino medio completo,2
ensino superior completo,1
ensino superior completo,5
ensino superior incompleto,1
ensino medio completo,3
ensino superior incompleto,1
ensino fundamental completo,1
ensino superior incompleto,8
ensino fundamental completo,1
ensino superior incompleto,1
ensino medio completo,3
ensino superior completo,1
ensino medio completo,1
ensino superior incompleto,2
ensino fundamental incompleto,3
ensino superior incompleto,1
ensino fundamental incompleto,1
ensino medio completo,1
ensino fundamental incompleto,2
ensino fundamental completo,1
ensino medio completo,1
ensino superior incompleto,2
ensino superior completo,17
ensino superior completo,1
ensino medio completo,1
ensino superior completo,1
ensino medio incompleto,1
ensino medio completo,3
ensino fundamental incompleto,1
ensino fundamental completo,1
ensino medio completo,9
ensino superior incompleto,13
ensino medio completo,6
ensino medio completo,1
ensino superior completo,6
analfabeto,1
ensino superior completo,2
ensino superior incompleto,3
ensino superior completo,1
ensino medio completo,3
ensino superior incompleto,1
ensino superior incompleto,1
ensino superior completo,3
ensino superior incompleto,1
ensino superior incompleto,2
ensino fundamental incompleto,2
ensino superior incompleto,3
ensino superior completo,1
ensino superior completo,2
ensino medio incompleto,1
ensino medio incompleto,7
ensino medio completo,2
ensino superior completo,1
ensino superior completo,1
ensino medio completo,1
ensino medio incompleto,6
ensino superior completo,1
ensino medio completo,1
ensino superior completo,10
ensino superior incompleto,2
le e escreve,2
ensino medio completo,1
ensino superior incompleto,3
ensino fundamental incompleto,1
ensino medio incompleto,12
ensino medio completo,3
ensino medio completo,3
le e escreve,4
ensino medio completo,1
ensino fundamental completo,1
ensino medio incompleto,1
ensino superior completo,3
ensino fundamental incompleto,3
ensino medio incompleto,1
ensino fundamental completo,1
ensino medio completo,1
ensino superior completo,4
le e escreve,1
ensino superior incompleto,1
ensino medio completo,1
ensino superior incompleto,1
ensino fundamental incompleto,1
ensino medio completo,2
ensino superior completo,3
ensino superior completo,11
ensino medio completo,5
ensino medio incompleto,1
ensino medio incompleto,1
ensino superior completo,8
ensino fundamental completo,1
ensino medio completo,2
ensino fundamental completo,1
ensino fundamental completo,1
ensino superior incompleto,1
ensino medio completo,1
ensino medio completo,1
ensino fundamental completo,4
ensino medio completo,1
ensino medio completo,10
ensino fundamental completo,1
ensino medio completo,3
ensino medio completo,1
ensino superior incompleto,2
ensino superior incompleto,2
ensino medio completo,1
ensino superior completo,3
ensino superior completo,2
ensino superior completo,2
ensino medio completo,1
ensino medio completo,8
ensino superior incompleto,2
ensino fundamental completo,3
ensino fundamental completo,1
ensino superior incompleto,4
ensino superior completo,19
ensino superior completo,1
ensino superior completo,1
ensino fundamental completo,1
ensino superior completo,2
ensino medio completo,1
ensino superior completo,5
ensino medio completo,1
ensino superior completo,2
ensino medio incompleto,2
ensino medio completo,2
ensino superior incompleto,1
ensino superior completo,1
ensino superior completo,3
ensino medio incompleto,1
ensino medio completo,1
ensino medio completo,1
ensino superior completo,11
ensino superior completo,2
ensino superior incompleto,1
ensino medio completo,1
ensino fundamental incompleto,1
ensino superior completo,2
ensino fundamental incompleto,1
ensino fundamental incompleto,4
ensino medio completo,1
le e escreve,1
le e escreve,1
ensino superior incompleto,1
ensino superior incompleto,2
ensino fundamental incompleto,1
ensino superior completo,1
ensino fundamental completo,1
ensino superior completo,2
ensino medio completo,1
ensino superior incompleto,1
ensino superior completo,2
ensino medio completo,1
ensino superior incompleto,4
le e escreve,2
ensino superior completo,10
ensino superior completo,1
ensino fundamental completo,2
ensino superior completo,4
le e escreve,1
ensino fundamental incompleto,3
ensino superior completo,10
ensino superior incompleto,1
ensino medio completo,3
ensino medio completo,1
ensino fundamental incompleto,2
ensino superior completo,1
ensino medio completo,1
ensino superior completo,1
ensino fundamental incompleto,1
ensino medio completo,1
ensino fundamental incompleto,1
ensino superior incompleto,1
ensino medio incompleto,1
ensino medio completo,1
ensino medio completo,2
ensino fundamental incompleto,1
ensino superior completo,1
ensino superior incompleto,3
ensino medio incompleto,1
ensino medio incompleto,3
ensino superior incompleto,1
ensino medio incompleto,10
analfabeto,1
le e escreve,1
ensino superior incompleto,1
ensino medio incompleto,1
ensino superior completo,1
ensino medio completo,4
ensino medio completo,2
ensino superior completo,1
ensino medio incompleto,4
le e escreve,5
ensino medio incompleto,2
ensino superior completo,3
ensino medio incompleto,1
ensino superior incompleto,1
ensino medio incompleto,2
ensino superior completo,1
ensino superior completo,1
ensino medio completo,4
ensino medio incompleto,22
ensino fundamental incompleto,2
le e escreve,1
ensino medio completo,1
ensino medio incompleto,2
ensino superior incompleto,1
ensino medio completo,4
ensino superior completo,1
ensino medio incompleto,1
ensino medio completo,1
ensino medio completo,1
ensino fundamental completo,1
ensino superior incompleto,6
ensino fundamental incompleto,1
ensino superior completo,12
ensino superior completo,1
ensino superior incompleto,1
le e escreve,1
ensino fundamental incompleto,1
le e escreve,1
ensino fundamental incompleto,1
ensino medio completo,1
ensino medio completo,12
ensino superior incompleto,2
ensino fundamental incompleto,1
ensino superior completo,4
ensino superior incompleto,2
ensino superior completo,9
ensino medio completo,1
ensino medio completo,3
ensino superior completo,3
ensino superior completo,1
ensino superior completo,1
ensino superior completo,6
ensino medio completo,1
ensino medio completo,2
ensino medio completo,2
ensino superior completo,11
le e escreve,2
ensino superior incompleto,2
ensino medio completo,1
ensino fundamental incompleto,1
ensino superior incompleto,1
ensino medio completo,1
ensino superior completo,1
ensino fundamental incompleto,3
ensino medio completo,3
ensino medio completo,1
ensino fundamental incompleto,2
ensino medio incompleto,1
ensino medio completo,4
ensino fundamental completo,1
ensino superior incompleto,1
ensino superior completo,2
ensino superior completo,3
ensino superior completo,1
ensino medio incompleto,2
ensino medio completo,1
ensino medio completo,1
ensino medio incompleto,1
ensino fundamental completo,1
ensino medio completo,2
ensino superior incompleto,3
ensino medio completo,2
ensino medio completo,1
ensino medio completo,1
ensino superior incompleto,1
ensino medio completo,2
ensino superior completo,4
ensino medio incompleto,1
ensino superior incompleto,5
ensino superior completo,1
ensino fundamental incompleto,4
ensino medio completo,12
ensino medio completo,1
ensino fundamental completo,4
ensino fundamental incompleto,5
ensino superior incompleto,1
ensino medio completo,2
ensino medio completo,1
ensino medio completo,4
ensino medio completo,1
ensino superior completo,7
ensino medio completo,2
ensino superior completo,1
ensino fundamental incompleto,1
ensino superior incompleto,1
ensino medio completo,1
ensino medio incompleto,2
ensino medio completo,2
ensino medio incompleto,1
ensino medio incompleto,7
ensino medio completo,4
ensino superior completo,1
ensino medio completo,3
ensino medio completo,2
ensino medio completo,1
ensino medio incompleto,1
ensino medio completo,1
ensino superior completo,1
le e escreve,2
ensino medio completo,3
ensino medio incompleto,1
ensino medio completo,1
ensino medio completo,1
ensino medio incompleto,2
ensino medio completo,17
ensino medio completo,1
ensino medio completo,1
ensino medio completo,4
ensino fundamental completo,1
ensino superior completo,3
ensino superior completo,3
ensino superior completo,1
ensino medio completo,6
ensino fundamental incompleto,1
ensino superior completo,1
ensino medio completo,1
ensino medio incompleto,1
analfabeto,1
ensino medio incompleto,5
ensino superior completo,2
ensino superior incompleto,2
ensino superior incompleto,1
ensino medio completo,5
ensino superior completo,1
analfabeto,1
ensino medio incompleto,2
ensino fundamental incompleto,1
ensino superior completo,2
ensino superior incompleto,1
ensino superior completo,8
ensino medio incompleto,1
ensino superior incompleto,2
ensino superior completo,1
ensino fundamental incompleto,2
ensino superior completo,2
ensino superior incompleto,1
ensino superior incompleto,4
ensino fundamental completo,1
ensino superior completo,2
ensino superior incompleto,1
ensino fundamental incompleto,4
ensino medio completo,1
analfabeto,2
ensino medio completo,3
ensino fundamental completo,1
ensino fundamental completo,1
ensino medio incompleto,5
ensino medio completo,1
ensino medio completo,3
ensino fundamental incompleto,1
ensino superior completo,1
ensino superior completo,3
ensino superior incompleto,1
ensino medio incompleto,2
ensino superior incompleto,1
ensino superior incompleto,1
ensino superior completo,2
ensino medio incompleto,2
ensino superior incompleto,1
ensino medio incompleto,1
ensino medio completo,17
ensino superior completo,4
ensino fundamental incompleto,1
ensino superior completo,4
ensino superior completo,14
ensino medio incompleto,7
ensino superior incompleto,4
ensino superior completo,4
ensino superior completo,3
le e escreve,1
ensino medio completo,1
ensino fundamental incompleto,1
le e escreve,1
ensino fundamental completo,1
ensino superior completo,1
ensino superior completo,5
ensino superior completo,1
ensino medio completo,6
ensino medio incompleto,15
ensino fundamental incompleto,1
ensino superior incompleto,2
ensino medio completo,2
ensino medio incompleto,1
ensino medio completo,3
ensino fundamental completo,1
ensino fundamental completo,1
ensino medio completo,1
ensino superior incompleto,1
ensino fundamental incompleto,1
ensino superior incompleto,10
ensino fundamental incompleto,2
ensino medio incompleto,1
ensino fundamental completo,1
ensino superior incompleto,1
ensino medio incompleto,1
ensino superior incompleto,1
ensino superior incompleto,1
ensino medio completo,3
ensino superior completo,2
ensino medio incompleto,1
ensino superior incompleto,2
ensino superior completo,9
ensino medio incompleto,5
ensino superior completo,2
ensino superior completo,3
ensino medio completo,5
ensino medio incompleto,1
ensino fundamental completo,1
ensino fundamental completo,1
ensino fundamental incompleto,2
ensino fundamental incompleto,1
ensino medio incompleto,1
ensino superior completo,2
ensino medio completo,1
ensino superior completo,4
ensino medio incompleto,2
ensino superior completo,1
ensino superior completo,1
ensino superior incompleto,2
ensino fundamental incompleto,4
ensino superior completo,4
ensino medio completo,20
ensino medio completo,1
ensino fundamental incompleto,3
ensino superior incompleto,3
ensino superior completo,6
ensino superior completo,1
ensino fundamental incompleto,3
ensino fundamental incompleto,1
ensino superior incompleto,1
analfabeto,1
ensino fundamental incompleto,3
